时间,刷题数目,平均分,累计用时,评分人,
2019/3/4,8,6,85,陶化镇
2019/3/20,4,7,35，陶化镇
2019/3/22,8,8,80,陶化镇
2019/3/24,8,7.4,88,陶化镇
2019/3/25,8,7.8,85,陶化镇
2019/3/27，8，8，88，陶化镇
2019/3/30，8，8，85，陶化镇
2019/4/1，8，7.6，86，陶化镇
2019/4/2，8，7.8，87，陶化镇
2019/4/3，8，9.5，83，陶化镇
2019/4/5，8，9.4，86，陶化镇
2019/4/6，8，9.2，87，陶化镇
2019/4/7，8，8.9，85，陶化镇
2019/4/8，8，8.9，86，陶化镇
2019/4/10，8，8.7，85，陶化镇
2019/4/11，8，9.5，86，陶化镇
2019/4/13，8，9.2，84，陶化镇
